epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
146,935.613,1.27265,0.42749,0.00178,0.90063,0.92834,0.94167,0.41617,1.88814,0.66431,0.00338,0.000808389,0.000808389,0.000808389
147,940.5,1.3081,0.46698,0.00181,0.86329,0.91818,0.92356,0.3953,1.89601,0.71302,0.00342,0.000805925,0.000805925,0.000805925
148,946.296,1.25925,0.44367,0.00176,0.91074,0.93826,0.95829,0.42939,1.85185,0.65409,0.0033,0.00080345,0.00080345,0.00080345
149,951.367,1.28723,0.45711,0.00191,0.92372,0.92063,0.9678,0.4219,1.90771,0.68198,0.00341,0.000800963,0.000800963,0.000800963
150,956.174,1.41188,0.49466,0.00197,0.84991,0.94019,0.96547,0.37878,2.07644,0.69407,0.00379,0.000798464,0.000798464,0.000798464
151,961.586,1.30804,0.43369,0.00182,0.91693,0.9048,0.95102,0.40486,1.98148,0.64128,0.00352,0.000795954,0.000795954,0.000795954
152,966.79,1.32774,0.44278,0.00188,0.96472,0.8693,0.95173,0.43581,1.88188,0.61324,0.0034,0.000793432,0.000793432,0.000793432
153,971.451,1.32367,0.47388,0.00195,0.96083,0.90974,0.97731,0.4421,1.8875,0.57018,0.00342,0.000790898,0.000790898,0.000790898
154,977.932,1.31984,0.43109,0.0018,0.88665,0.94189,0.95879,0.40281,2.03018,0.67131,0.00373,0.000788354,0.000788354,0.000788354
155,982.768,1.31006,0.44162,0.00188,0.91342,0.94575,0.96967,0.40732,1.98321,0.7154,0.00358,0.000785798,0.000785798,0.000785798
156,987.598,1.24757,0.43402,0.0018,0.94346,0.95447,0.97404,0.43859,1.92369,0.64611,0.00347,0.000783231,0.000783231,0.000783231
157,992.424,1.28258,0.44029,0.00181,0.93969,0.95064,0.97148,0.45292,1.89066,0.64472,0.00337,0.000780653,0.000780653,0.000780653
158,997.164,1.24199,0.42303,0.00182,0.96337,0.90766,0.95455,0.43446,1.94796,0.68557,0.00345,0.000778065,0.000778065,0.000778065
159,1001.86,1.26611,0.40336,0.00177,0.9406,0.91127,0.95393,0.42912,1.95251,0.64887,0.00346,0.000775465,0.000775465,0.000775465
160,1006.7,1.26952,0.44862,0.00177,0.89243,0.89926,0.93865,0.42747,1.85328,0.73256,0.00328,0.000772855,0.000772855,0.000772855
161,1011.54,1.2566,0.46857,0.00181,0.91786,0.90996,0.93891,0.41375,1.92244,0.68722,0.00347,0.000770234,0.000770234,0.000770234
162,1017.71,1.23761,0.45266,0.0017,0.93742,0.86212,0.93774,0.383,1.95936,0.69664,0.00359,0.000767603,0.000767603,0.000767603
163,1022.6,1.27682,0.44365,0.00186,0.9402,0.89841,0.94605,0.42137,1.90161,0.62391,0.00342,0.000764961,0.000764961,0.000764961
164,1027.27,1.27855,0.43142,0.00174,0.91391,0.92835,0.9512,0.43247,1.87425,0.602,0.00338,0.00076231,0.00076231,0.00076231
165,1031.74,1.29202,0.44851,0.00174,0.92231,0.91096,0.94303,0.42926,1.89798,0.63074,0.00342,0.000759648,0.000759648,0.000759648
166,1036.51,1.22813,0.41672,0.00165,0.92448,0.90952,0.9447,0.43937,1.84952,0.61389,0.00329,0.000756976,0.000756976,0.000756976
167,1041.4,1.18001,0.43969,0.00166,0.94858,0.89864,0.94732,0.44353,1.83459,0.62281,0.00328,0.000754293,0.000754293,0.000754293
168,1046.38,1.1896,0.4331,0.00161,0.96885,0.89241,0.96787,0.43277,1.85901,0.65966,0.00334,0.000751602,0.000751602,0.000751602
169,1051.16,1.18314,0.44646,0.00166,0.89227,0.90515,0.93129,0.42191,1.87367,0.63306,0.00337,0.0007489,0.0007489,0.0007489
170,1056.27,1.23178,0.41896,0.00172,0.9108,0.92361,0.94711,0.42412,1.8774,0.57551,0.00339,0.000746189,0.000746189,0.000746189
171,1062.22,1.18417,0.4316,0.00171,0.9411,0.92931,0.95007,0.41832,1.92708,0.57379,0.00347,0.000743468,0.000743468,0.000743468
172,1068.47,1.20124,0.43317,0.00173,0.9454,0.9512,0.95467,0.43687,1.87721,0.6052,0.00336,0.000740738,0.000740738,0.000740738
173,1074.64,1.24294,0.42119,0.00163,0.95968,0.95428,0.95924,0.43457,1.8939,0.62279,0.00338,0.000737998,0.000737998,0.000737998
174,1079.3,1.19331,0.40384,0.00167,0.93175,0.94286,0.9562,0.4359,1.89376,0.63904,0.00334,0.00073525,0.00073525,0.00073525
175,1084.02,1.25394,0.43815,0.00171,0.91699,0.94523,0.95266,0.43664,1.88508,0.65948,0.00334,0.000732492,0.000732492,0.000732492
176,1088.31,1.20583,0.44178,0.00157,0.90884,0.90205,0.93798,0.42086,1.91733,0.69938,0.00341,0.000729725,0.000729725,0.000729725
177,1093.04,1.14611,0.3748,0.00174,0.93588,0.9493,0.96921,0.42106,1.92866,0.675,0.00346,0.00072695,0.00072695,0.00072695
178,1097.73,1.20324,0.43471,0.00167,0.9479,0.89922,0.95595,0.41919,1.95031,0.71209,0.00352,0.000724165,0.000724165,0.000724165
179,1102.37,1.18793,0.39888,0.00166,0.91405,0.9151,0.95307,0.40961,1.93299,0.71289,0.00348,0.000721372,0.000721372,0.000721372
180,1106.77,1.24106,0.47898,0.00172,0.90435,0.93821,0.96646,0.43466,1.88273,0.70735,0.00333,0.000718571,0.000718571,0.000718571
181,1111.51,1.17965,0.43007,0.00163,0.95237,0.92192,0.96449,0.43235,1.87662,0.73542,0.00333,0.000715761,0.000715761,0.000715761
